day,meal,item,weather,event,demand
Thursday,Snacks,Sandwich,Sunny,Holiday,119
Monday,Lunch,Biryani,Cold,No,170
Sunday,Snacks,Sandwich,Sunny,Sports Meet,173
Tuesday,Dinner,Chapati,Cloudy,Exam,94
Monday,Dinner,Noodles,Cold,Sports Meet,180
Thursday,Dinner,Noodles,Cloudy,Holiday,115
Saturday,Breakfast,Idli,Rainy,Festival,179
Friday,Snacks,Samosa,Sunny,Exam,122
Wednesday,Breakfast,Idli,Cloudy,Sports Meet,247
Monday,Breakfast,Sandwich,Rainy,Holiday,140
Thursday,Dinner,Noodles,Cold,Exam,97
Sunday,Breakfast,Sandwich,Cold,Exam,99
Monday,Snacks,Puff,Sunny,Holiday,96
Saturday,Snacks,Samosa,Cloudy,Sports Meet,250
Sunday,Breakfast,Dosa,Cold,Exam,56
Friday,Snacks,Noodles,Sunny,Festival,159
Wednesday,Snacks,Puff,Cloudy,Festival,176
Tuesday,Lunch,Chapati,Cloudy,Sports Meet,169
Saturday,Breakfast,Dosa,Cold,Festival,185
Tuesday,Breakfast,Dosa,Sunny,Sports Meet,211
Thursday,Dinner,Noodles,Sunny,Exam,88
Sunday,Dinner,Rice,Rainy,Festival,166
Wednesday,Breakfast,Idli,Sunny,Exam,79
Friday,Breakfast,Dosa,Sunny,Exam,120
Sunday,Lunch,Noodles,Cold,Sports Meet,184
Thursday,Snacks,Puff,Sunny,Exam,79
Friday,Dinner,Biryani,Cloudy,No,159
Thursday,Dinner,Chapati,Rainy,No,81
Saturday,Breakfast,Idli,Sunny,Exam,121
Thursday,Breakfast,Idli,Rainy,Sports Meet,159
Sunday,Breakfast,Dosa,Cold,Exam,89
Friday,Lunch,Rice,Cloudy,Sports Meet,176
Monday,Lunch,Chapati,Cloudy,Exam,74
Sunday,Breakfast,Sandwich,Cold,Sports Meet,191
Monday,Snacks,Puff,Cold,Exam,137
Wednesday,Lunch,Noodles,Cold,Holiday,178
Thursday,Dinner,Biryani,Sunny,Holiday,166
Wednesday,Dinner,Biryani,Cold,Sports Meet,245
Monday,Breakfast,Idli,Cold,Exam,63
Tuesday,Snacks,Sandwich,Cloudy,Exam,78
Saturday,Snacks,Noodles,Rainy,Festival,290
Friday,Snacks,Puff,Sunny,Sports Meet,152
Thursday,Breakfast,Sandwich,Cold,Festival,158
Friday,Dinner,Rice,Cloudy,Festival,206
Saturday,Snacks,Samosa,Cold,Holiday,182
Friday,Dinner,Rice,Sunny,Sports Meet,215
Thursday,Dinner,Biryani,Cold,No,160
Monday,Dinner,Noodles,Cloudy,Exam,111
Monday,Breakfast,Dosa,Rainy,No,117
Friday,Lunch,Chapati,Cold,Exam,62
Thursday,Lunch,Rice,Cloudy,No,116
Saturday,Lunch,Rice,Sunny,Holiday,213
Sunday,Snacks,Sandwich,Cold,Exam,94
Friday,Dinner,Chapati,Cold,Festival,152
Friday,Snacks,Samosa,Sunny,Sports Meet,263
Thursday,Breakfast,Dosa,Cloudy,Exam,111
Tuesday,Dinner,Rice,Rainy,Holiday,76
Friday,Dinner,Rice,Sunny,Sports Meet,245
Monday,Lunch,Noodles,Cloudy,Sports Meet,162
Saturday,Snacks,Noodles,Rainy,Festival,208
Saturday,Dinner,Noodles,Sunny,Exam,125
Wednesday,Dinner,Rice,Sunny,Holiday,112
Tuesday,Dinner,Biryani,Cold,Sports Meet,190
Tuesday,Snacks,Puff,Sunny,Holiday,105
Tuesday,Dinner,Chapati,Cloudy,Holiday,62
Friday,Breakfast,Sandwich,Cloudy,Holiday,176
Monday,Lunch,Biryani,Cold,No,189
Friday,Lunch,Chapati,Cloudy,Exam,100
Sunday,Lunch,Biryani,Cloudy,Exam,163
Sunday,Snacks,Noodles,Sunny,Sports Meet,194
Sunday,Lunch,Chapati,Rainy,Sports Meet,165
Sunday,Lunch,Rice,Cold,Festival,243
Sunday,Breakfast,Sandwich,Rainy,Festival,158
Tuesday,Lunch,Biryani,Cloudy,No,174
Thursday,Lunch,Chapati,Cold,Sports Meet,164
Monday,Dinner,Biryani,Sunny,No,192
Saturday,Lunch,Chapati,Rainy,Sports Meet,222
Tuesday,Breakfast,Sandwich,Cold,Holiday,136
Friday,Lunch,Biryani,Rainy,Exam,122
Tuesday,Dinner,Biryani,Cold,No,117
Friday,Dinner,Noodles,Rainy,No,126
Friday,Snacks,Sandwich,Cold,Festival,244
Thursday,Breakfast,Dosa,Rainy,Holiday,123
Monday,Snacks,Sandwich,Cold,Sports Meet,247
Saturday,Lunch,Biryani,Cloudy,Exam,207
Sunday,Breakfast,Idli,Cold,No,94
Thursday,Breakfast,Dosa,Cold,Sports Meet,153
Tuesday,Snacks,Noodles,Sunny,Festival,189
Tuesday,Dinner,Biryani,Cold,Festival,205
Friday,Breakfast,Dosa,Cold,Sports Meet,160
Friday,Dinner,Rice,Sunny,Sports Meet,231
Monday,Breakfast,Idli,Cold,Exam,90
Tuesday,Breakfast,Dosa,Sunny,Sports Meet,202
Saturday,Lunch,Biryani,Rainy,Exam,161
Tuesday,Dinner,Biryani,Cloudy,Sports Meet,290
Thursday,Breakfast,Dosa,Cold,Festival,150
Wednesday,Snacks,Samosa,Cloudy,Holiday,109
Saturday,Breakfast,Sandwich,Rainy,Sports Meet,213
Sunday,Snacks,Sandwich,Rainy,Festival,229
Tuesday,Snacks,Noodles,Cold,Holiday,103
Monday,Dinner,Chapati,Sunny,No,96
Monday,Dinner,Chapati,Cloudy,No,111
Wednesday,Snacks,Sandwich,Sunny,Exam,88
Monday,Snacks,Sandwich,Sunny,No,112
Tuesday,Dinner,Chapati,Cold,No,95
Friday,Lunch,Noodles,Rainy,Exam,95
Thursday,Lunch,Rice,Rainy,Festival,179
Thursday,Breakfast,Sandwich,Cold,No,105
Thursday,Snacks,Noodles,Sunny,Sports Meet,201
Friday,Snacks,Noodles,Rainy,Sports Meet,248
Wednesday,Lunch,Noodles,Cold,Sports Meet,181
Thursday,Dinner,Chapati,Cold,Sports Meet,122
Saturday,Dinner,Chapati,Sunny,Sports Meet,268
Thursday,Lunch,Biryani,Cloudy,No,183
Tuesday,Lunch,Rice,Sunny,Holiday,227
Saturday,Breakfast,Idli,Cold,Exam,121
Wednesday,Dinner,Biryani,Cloudy,Exam,136
Thursday,Snacks,Puff,Sunny,Festival,207
Monday,Dinner,Chapati,Cloudy,Festival,190
Thursday,Lunch,Chapati,Rainy,Festival,146
Tuesday,Lunch,Chapati,Cold,No,103
Sunday,Dinner,Biryani,Cold,No,226
Saturday,Lunch,Rice,Sunny,Sports Meet,267
Monday,Snacks,Samosa,Cold,Exam,188
Friday,Lunch,Chapati,Cloudy,Exam,58
Monday,Snacks,Sandwich,Cloudy,No,104
Thursday,Dinner,Chapati,Cloudy,Sports Meet,217
Wednesday,Lunch,Rice,Sunny,Holiday,160
Sunday,Dinner,Rice,Rainy,Sports Meet,250
Friday,Lunch,Biryani,Rainy,No,151
Thursday,Breakfast,Dosa,Cloudy,Festival,206
Friday,Breakfast,Idli,Rainy,No,89
Saturday,Snacks,Puff,Cold,Festival,249
Sunday,Breakfast,Sandwich,Cold,Exam,63
Thursday,Breakfast,Dosa,Cloudy,Festival,240
Sunday,Lunch,Rice,Sunny,No,135
Wednesday,Snacks,Sandwich,Sunny,Holiday,110
Sunday,Dinner,Noodles,Sunny,Holiday,172
Thursday,Breakfast,Dosa,Rainy,Exam,91
Thursday,Dinner,Chapati,Sunny,Exam,121
Friday,Dinner,Chapati,Cloudy,Sports Meet,180
Tuesday,Dinner,Chapati,Sunny,Exam,120
Sunday,Breakfast,Dosa,Sunny,Exam,153
Thursday,Snacks,Samosa,Sunny,No,158
Sunday,Snacks,Noodles,Rainy,Exam,118
Thursday,Snacks,Sandwich,Cold,Holiday,151
Sunday,Breakfast,Idli,Rainy,Holiday,147
Thursday,Breakfast,Idli,Cloudy,No,138
Friday,Lunch,Chapati,Rainy,No,92
Thursday,Dinner,Chapati,Rainy,Sports Meet,154
Thursday,Dinner,Rice,Rainy,Holiday,62
Saturday,Breakfast,Dosa,Cloudy,Exam,111
Thursday,Snacks,Puff,Cold,Holiday,104
Sunday,Lunch,Chapati,Rainy,No,113
Monday,Snacks,Noodles,Sunny,Festival,213
Friday,Breakfast,Dosa,Cold,No,95
Monday,Snacks,Sandwich,Rainy,No,181
Thursday,Snacks,Noodles,Sunny,Sports Meet,199
Tuesday,Lunch,Rice,Cold,Holiday,170
Wednesday,Breakfast,Dosa,Cold,Holiday,163
Friday,Dinner,Chapati,Sunny,Festival,199
Thursday,Snacks,Sandwich,Sunny,Festival,206
Saturday,Dinner,Biryani,Cold,Exam,169
Monday,Dinner,Biryani,Sunny,Festival,305
Friday,Snacks,Puff,Rainy,Festival,243
Friday,Lunch,Rice,Cloudy,No,137
Monday,Snacks,Sandwich,Cold,Sports Meet,194
Saturday,Dinner,Biryani,Rainy,Holiday,185
Thursday,Dinner,Biryani,Cold,Exam,118
Saturday,Lunch,Noodles,Cloudy,Exam,126
Saturday,Breakfast,Idli,Sunny,No,151
Monday,Snacks,Sandwich,Sunny,Exam,96
Wednesday,Breakfast,Sandwich,Sunny,Holiday,199
Sunday,Lunch,Chapati,Cold,No,121
Monday,Breakfast,Sandwich,Cold,No,125
Sunday,Snacks,Sandwich,Cloudy,Holiday,77
Saturday,Snacks,Sandwich,Rainy,Holiday,138
Sunday,Breakfast,Dosa,Cloudy,Holiday,166
Saturday,Snacks,Sandwich,Cold,Sports Meet,260
Tuesday,Breakfast,Dosa,Cold,Sports Meet,209
Friday,Snacks,Puff,Rainy,Exam,141
Saturday,Breakfast,Sandwich,Sunny,Holiday,166
Saturday,Dinner,Rice,Sunny,Sports Meet,283
Thursday,Snacks,Samosa,Cold,Exam,141
Wednesday,Dinner,Biryani,Cloudy,Festival,253
Tuesday,Snacks,Noodles,Cloudy,Exam,70
Monday,Lunch,Biryani,Cold,Holiday,238
Wednesday,Breakfast,Sandwich,Rainy,Sports Meet,196
Thursday,Dinner,Rice,Rainy,No,133
Sunday,Breakfast,Idli,Cloudy,No,118
Sunday,Dinner,Biryani,Cold,Festival,273
Friday,Breakfast,Idli,Rainy,Holiday,168
Friday,Dinner,Noodles,Cold,No,131
Saturday,Snacks,Sandwich,Rainy,Festival,214
Thursday,Dinner,Chapati,Cold,Sports Meet,180
Friday,Breakfast,Dosa,Sunny,Sports Meet,221
Thursday,Snacks,Samosa,Rainy,Festival,277
Monday,Lunch,Rice,Cold,Exam,67
Wednesday,Breakfast,Dosa,Rainy,Sports Meet,194
Friday,Snacks,Sandwich,Cold,Sports Meet,257
Saturday,Snacks,Puff,Rainy,Holiday,128
Wednesday,Snacks,Noodles,Rainy,No,146
Friday,Snacks,Noodles,Cold,No,181
Wednesday,Snacks,Sandwich,Sunny,Festival,237
Friday,Snacks,Noodles,Cold,No,133
Wednesday,Breakfast,Dosa,Rainy,Holiday,146
Friday,Lunch,Biryani,Rainy,Festival,179
Wednesday,Snacks,Noodles,Rainy,Sports Meet,234
Sunday,Breakfast,Sandwich,Sunny,Sports Meet,184
Wednesday,Snacks,Sandwich,Sunny,Holiday,96
Wednesday,Dinner,Noodles,Cold,No,85
Thursday,Lunch,Noodles,Sunny,Sports Meet,216
Friday,Dinner,Biryani,Rainy,Holiday,96
Monday,Breakfast,Dosa,Rainy,Holiday,155
Friday,Snacks,Samosa,Cloudy,Exam,185
Sunday,Breakfast,Idli,Rainy,Festival,146
Monday,Lunch,Rice,Rainy,Festival,163
Friday,Snacks,Samosa,Cold,No,203
Tuesday,Dinner,Rice,Cloudy,No,117
Sunday,Snacks,Samosa,Rainy,Holiday,175
Wednesday,Snacks,Sandwich,Rainy,Exam,142
Tuesday,Lunch,Noodles,Cloudy,Festival,225
Tuesday,Breakfast,Dosa,Rainy,Exam,71
Thursday,Dinner,Noodles,Sunny,No,147
Saturday,Dinner,Noodles,Rainy,Festival,250
Friday,Breakfast,Dosa,Rainy,Exam,35
Friday,Snacks,Puff,Sunny,Exam,59
Tuesday,Breakfast,Idli,Cloudy,Holiday,202
Tuesday,Dinner,Rice,Cloudy,Sports Meet,177
Sunday,Snacks,Puff,Cold,No,142
Tuesday,Snacks,Puff,Cold,Exam,124
Tuesday,Snacks,Puff,Rainy,Exam,93
Sunday,Breakfast,Idli,Sunny,No,131
Friday,Dinner,Rice,Cold,Festival,155
Saturday,Lunch,Chapati,Sunny,No,145
Thursday,Snacks,Samosa,Cloudy,Exam,151
Tuesday,Snacks,Puff,Cold,Festival,222
Friday,Dinner,Biryani,Cloudy,Exam,163
Friday,Breakfast,Dosa,Cloudy,Festival,212
Thursday,Breakfast,Idli,Cloudy,Festival,181
Monday,Snacks,Sandwich,Rainy,Festival,240
Saturday,Snacks,Samosa,Cloudy,Exam,130
Sunday,Dinner,Rice,Cloudy,Sports Meet,226
Tuesday,Lunch,Rice,Sunny,Holiday,172
Thursday,Breakfast,Dosa,Cloudy,Exam,111
Tuesday,Breakfast,Sandwich,Rainy,Sports Meet,178
Tuesday,Snacks,Noodles,Cloudy,Sports Meet,199
Friday,Lunch,Biryani,Cloudy,Sports Meet,271
Sunday,Breakfast,Dosa,Cloudy,Sports Meet,156
Wednesday,Snacks,Puff,Cloudy,Holiday,72
Monday,Breakfast,Sandwich,Cloudy,No,150
Monday,Snacks,Sandwich,Cold,Holiday,107
Wednesday,Dinner,Rice,Cloudy,Sports Meet,166
Wednesday,Lunch,Biryani,Sunny,Festival,257
Wednesday,Lunch,Biryani,Rainy,Exam,120
Friday,Snacks,Sandwich,Rainy,Holiday,126
Friday,Lunch,Chapati,Rainy,Sports Meet,175
Thursday,Lunch,Biryani,Rainy,Exam,115
Tuesday,Breakfast,Dosa,Cloudy,Festival,174
Saturday,Lunch,Chapati,Cloudy,Holiday,183
Saturday,Dinner,Chapati,Rainy,No,94
Tuesday,Snacks,Sandwich,Cold,Sports Meet,283
Tuesday,Lunch,Chapati,Rainy,Sports Meet,199
Sunday,Dinner,Chapati,Cloudy,Holiday,115
Wednesday,Lunch,Rice,Cloudy,Festival,232
Sunday,Lunch,Biryani,Cold,Holiday,231
Sunday,Snacks,Noodles,Cloudy,Holiday,101
Monday,Snacks,Sandwich,Cold,Holiday,132
Thursday,Breakfast,Dosa,Sunny,Festival,214
Monday,Lunch,Noodles,Rainy,Exam,39
Saturday,Dinner,Chapati,Cloudy,Sports Meet,252
Sunday,Lunch,Noodles,Cloudy,Exam,87
Sunday,Lunch,Biryani,Sunny,Exam,208
Tuesday,Breakfast,Dosa,Cloudy,Holiday,147
Thursday,Lunch,Rice,Sunny,Festival,221
Tuesday,Dinner,Chapati,Rainy,Sports Meet,111
Tuesday,Lunch,Chapati,Cloudy,Holiday,112
Saturday,Dinner,Chapati,Rainy,Exam,77
Saturday,Lunch,Rice,Rainy,No,127
Friday,Lunch,Rice,Cold,No,101
Wednesday,Dinner,Biryani,Rainy,No,143
Tuesday,Snacks,Samosa,Cold,No,251
Thursday,Lunch,Rice,Cold,Exam,61
Saturday,Lunch,Rice,Cold,No,115
Sunday,Lunch,Noodles,Sunny,Sports Meet,236
Friday,Snacks,Samosa,Rainy,Holiday,173
Sunday,Dinner,Rice,Rainy,No,148
Monday,Dinner,Rice,Cold,Festival,127
Sunday,Snacks,Noodles,Cloudy,Sports Meet,180
Tuesday,Snacks,Sandwich,Cloudy,Holiday,98
Monday,Breakfast,Dosa,Sunny,No,164
Monday,Snacks,Noodles,Cloudy,Sports Meet,184
Friday,Breakfast,Dosa,Rainy,Sports Meet,181
Thursday,Dinner,Rice,Cold,Holiday,86
Wednesday,Lunch,Noodles,Cold,Festival,176
Wednesday,Lunch,Noodles,Cloudy,Holiday,157
Monday,Dinner,Noodles,Sunny,Holiday,119
Wednesday,Breakfast,Idli,Cold,Festival,191
Thursday,Lunch,Noodles,Cloudy,Sports Meet,187
Sunday,Dinner,Noodles,Cold,Exam,103
Monday,Breakfast,Dosa,Cold,Sports Meet,194
Monday,Snacks,Puff,Rainy,Sports Meet,236
Thursday,Dinner,Rice,Cold,Exam,90
Monday,Lunch,Noodles,Rainy,No,100
Sunday,Snacks,Sandwich,Cloudy,Festival,194
Sunday,Lunch,Rice,Sunny,Exam,132
Friday,Breakfast,Idli,Cold,No,134
Friday,Dinner,Noodles,Sunny,Exam,83
Thursday,Snacks,Puff,Cloudy,Festival,162
Tuesday,Dinner,Noodles,Cold,Exam,53
Sunday,Breakfast,Sandwich,Rainy,Holiday,144
Tuesday,Dinner,Noodles,Sunny,No,160
Tuesday,Breakfast,Dosa,Cold,Festival,166
Monday,Snacks,Noodles,Rainy,Exam,139
Friday,Snacks,Puff,Rainy,Holiday,97
Tuesday,Dinner,Chapati,Sunny,Exam,57
Tuesday,Breakfast,Sandwich,Sunny,Holiday,137
Wednesday,Snacks,Sandwich,Rainy,Festival,222
Sunday,Snacks,Noodles,Rainy,Exam,125
Wednesday,Breakfast,Sandwich,Rainy,Holiday,129
Thursday,Lunch,Noodles,Rainy,Sports Meet,176
Sunday,Snacks,Sandwich,Rainy,No,159
Monday,Breakfast,Dosa,Rainy,Festival,195
Friday,Lunch,Rice,Cloudy,No,130
Thursday,Lunch,Biryani,Cold,Holiday,172
Tuesday,Snacks,Puff,Sunny,Sports Meet,179
Friday,Breakfast,Sandwich,Sunny,Festival,248
Monday,Snacks,Samosa,Rainy,No,211
Wednesday,Lunch,Chapati,Cloudy,Sports Meet,201
Monday,Lunch,Biryani,Rainy,Holiday,191
Friday,Snacks,Sandwich,Sunny,No,122
Wednesday,Snacks,Puff,Sunny,Exam,79
Sunday,Lunch,Chapati,Sunny,Festival,221
Friday,Breakfast,Sandwich,Rainy,Sports Meet,185
Tuesday,Breakfast,Idli,Sunny,Exam,110
Saturday,Snacks,Puff,Cloudy,Sports Meet,208
Friday,Snacks,Samosa,Sunny,No,193
Thursday,Lunch,Noodles,Sunny,Exam,133
Thursday,Breakfast,Sandwich,Sunny,Sports Meet,233
Wednesday,Dinner,Noodles,Sunny,Holiday,129
Tuesday,Dinner,Noodles,Cold,Exam,69
Friday,Breakfast,Dosa,Sunny,Holiday,152
Tuesday,Snacks,Noodles,Cloudy,Sports Meet,225
Monday,Lunch,Noodles,Sunny,Festival,212
Friday,Lunch,Rice,Cloudy,Festival,193
Wednesday,Snacks,Samosa,Cloudy,Sports Meet,209
Wednesday,Breakfast,Sandwich,Sunny,No,132
Sunday,Lunch,Noodles,Rainy,Sports Meet,187
Saturday,Dinner,Rice,Cold,Festival,245
Wednesday,Breakfast,Sandwich,Rainy,No,110
Thursday,Lunch,Rice,Rainy,Holiday,133
Thursday,Dinner,Chapati,Cold,Sports Meet,144
Friday,Breakfast,Dosa,Sunny,Festival,210
Sunday,Lunch,Chapati,Cold,Sports Meet,186
Tuesday,Dinner,Rice,Rainy,Exam,64
Friday,Snacks,Noodles,Cold,Holiday,125
Friday,Snacks,Samosa,Cloudy,Festival,258
Friday,Dinner,Chapati,Cold,No,69
Friday,Dinner,Biryani,Sunny,Festival,251
Friday,Lunch,Rice,Sunny,No,145
Thursday,Snacks,Noodles,Sunny,Sports Meet,198
Tuesday,Breakfast,Idli,Cold,Holiday,96
Saturday,Snacks,Sandwich,Rainy,Festival,264
Saturday,Breakfast,Sandwich,Cold,Sports Meet,181
Tuesday,Snacks,Puff,Cloudy,No,96
Thursday,Breakfast,Dosa,Sunny,Exam,122
Monday,Lunch,Noodles,Rainy,Exam,83
Tuesday,Dinner,Noodles,Cloudy,Festival,217
Tuesday,Snacks,Noodles,Sunny,Festival,222
Tuesday,Snacks,Samosa,Sunny,Festival,237
Friday,Dinner,Rice,Rainy,Exam,75
Thursday,Lunch,Noodles,Rainy,Festival,172
Wednesday,Dinner,Noodles,Cloudy,Festival,208
Thursday,Dinner,Noodles,Sunny,No,160
Sunday,Lunch,Noodles,Cold,Festival,208
Monday,Lunch,Biryani,Cloudy,No,193
Tuesday,Dinner,Rice,Sunny,No,115
Friday,Dinner,Biryani,Sunny,Exam,135
Sunday,Lunch,Noodles,Rainy,Exam,129
Wednesday,Dinner,Rice,Cold,Exam,95
Tuesday,Breakfast,Dosa,Cloudy,Festival,193
Saturday,Dinner,Noodles,Rainy,Exam,75
Wednesday,Dinner,Biryani,Cloudy,Sports Meet,228
Friday,Breakfast,Idli,Cloudy,Holiday,194
Sunday,Snacks,Samosa,Sunny,Exam,122
Monday,Breakfast,Dosa,Rainy,Sports Meet,166
Tuesday,Breakfast,Sandwich,Cold,Exam,34
Wednesday,Snacks,Samosa,Cold,Holiday,185
Tuesday,Lunch,Noodles,Rainy,Holiday,135
Saturday,Breakfast,Sandwich,Cold,No,121
Friday,Dinner,Rice,Cold,Sports Meet,154
Tuesday,Snacks,Puff,Sunny,Holiday,69
Monday,Snacks,Samosa,Rainy,Festival,311
Friday,Dinner,Biryani,Rainy,No,176
Friday,Snacks,Puff,Cloudy,Sports Meet,193
Thursday,Breakfast,Idli,Sunny,Holiday,181
Friday,Snacks,Sandwich,Sunny,Exam,119
Monday,Snacks,Puff,Rainy,No,116
Wednesday,Snacks,Noodles,Sunny,Sports Meet,220
Thursday,Lunch,Biryani,Cloudy,Holiday,190
Sunday,Lunch,Rice,Rainy,Holiday,120
Thursday,Breakfast,Dosa,Sunny,Sports Meet,172
Tuesday,Snacks,Samosa,Rainy,Holiday,170
Saturday,Dinner,Rice,Cloudy,Festival,249
Wednesday,Lunch,Rice,Sunny,Holiday,174
Friday,Breakfast,Dosa,Rainy,Holiday,147
Saturday,Snacks,Samosa,Cloudy,Sports Meet,237
Tuesday,Breakfast,Idli,Cold,Holiday,136
Thursday,Lunch,Chapati,Cold,Holiday,121
Tuesday,Lunch,Biryani,Cold,Exam,93
Sunday,Snacks,Samosa,Cloudy,Holiday,148
Saturday,Snacks,Noodles,Sunny,Festival,248
Saturday,Snacks,Sandwich,Rainy,Festival,249
Wednesday,Dinner,Chapati,Cold,Festival,157
Wednesday,Lunch,Biryani,Cloudy,Festival,292
Friday,Snacks,Puff,Rainy,Festival,236
Thursday,Dinner,Noodles,Rainy,Sports Meet,200
Friday,Breakfast,Idli,Rainy,No,109
Sunday,Snacks,Samosa,Cold,Exam,156
Wednesday,Breakfast,Dosa,Cold,Festival,206
Tuesday,Snacks,Noodles,Rainy,Sports Meet,202
Sunday,Breakfast,Dosa,Cloudy,No,140
Saturday,Lunch,Rice,Rainy,Exam,87
Tuesday,Dinner,Rice,Rainy,No,92
Sunday,Dinner,Noodles,Rainy,No,139
Wednesday,Dinner,Biryani,Rainy,Festival,226
Friday,Breakfast,Dosa,Sunny,Festival,237
Sunday,Snacks,Puff,Cold,Sports Meet,208
Friday,Breakfast,Idli,Cold,Exam,89
Tuesday,Breakfast,Idli,Cloudy,Exam,114
Sunday,Dinner,Rice,Rainy,Holiday,129
Monday,Lunch,Biryani,Rainy,No,137
Thursday,Snacks,Samosa,Cold,Sports Meet,276
Saturday,Lunch,Biryani,Rainy,No,205
Sunday,Snacks,Noodles,Cloudy,No,113
Monday,Snacks,Puff,Sunny,No,106
Friday,Breakfast,Dosa,Cloudy,No,113
Tuesday,Dinner,Noodles,Cold,Sports Meet,167
Tuesday,Snacks,Samosa,Cloudy,Sports Meet,250
Monday,Breakfast,Dosa,Sunny,No,153
Saturday,Snacks,Noodles,Cloudy,Exam,86
Thursday,Snacks,Samosa,Sunny,Festival,231
Sunday,Dinner,Biryani,Sunny,Sports Meet,330
Monday,Dinner,Biryani,Rainy,Exam,126
Sunday,Breakfast,Sandwich,Cold,Exam,57
Friday,Dinner,Rice,Cold,No,88
Sunday,Lunch,Chapati,Rainy,Sports Meet,214
Saturday,Breakfast,Sandwich,Rainy,Holiday,163
Saturday,Dinner,Noodles,Sunny,Holiday,132
Sunday,Dinner,Rice,Cloudy,Exam,146
Wednesday,Dinner,Biryani,Cold,Festival,223
Saturday,Breakfast,Dosa,Cloudy,Sports Meet,215
Sunday,Lunch,Noodles,Cloudy,No,164
Friday,Dinner,Noodles,Cold,Exam,49
Wednesday,Snacks,Noodles,Cloudy,No,140
Thursday,Snacks,Puff,Sunny,Sports Meet,200
Friday,Dinner,Chapati,Cloudy,Festival,221
Friday,Breakfast,Sandwich,Sunny,No,125
Monday,Snacks,Noodles,Rainy,Holiday,125
Sunday,Snacks,Puff,Cold,Exam,118
Saturday,Dinner,Chapati,Rainy,No,100
Thursday,Dinner,Chapati,Sunny,No,129
Wednesday,Lunch,Chapati,Cloudy,Exam,63
Saturday,Lunch,Noodles,Rainy,Sports Meet,226
Wednesday,Breakfast,Sandwich,Cold,Holiday,154
Friday,Dinner,Noodles,Rainy,Festival,181
Saturday,Lunch,Chapati,Cloudy,Exam,96
Thursday,Lunch,Noodles,Rainy,Exam,70
Tuesday,Lunch,Biryani,Cloudy,Festival,280
Tuesday,Breakfast,Idli,Sunny,No,120
Sunday,Lunch,Chapati,Cold,No,113
Thursday,Breakfast,Idli,Cloudy,Exam,85
Tuesday,Lunch,Chapati,Rainy,Festival,194
Friday,Dinner,Biryani,Sunny,Exam,185
Monday,Lunch,Biryani,Sunny,No,230
Wednesday,Breakfast,Idli,Cloudy,Holiday,125
Wednesday,Lunch,Biryani,Rainy,Exam,144
Thursday,Dinner,Biryani,Rainy,Holiday,128
Friday,Breakfast,Sandwich,Sunny,Sports Meet,183
Sunday,Breakfast,Idli,Cloudy,Sports Meet,180
Sunday,Breakfast,Dosa,Rainy,Festival,143
Saturday,Lunch,Biryani,Cold,Exam,114
Sunday,Breakfast,Sandwich,Rainy,Sports Meet,154
Monday,Snacks,Puff,Cloudy,Sports Meet,150
Wednesday,Dinner,Rice,Cloudy,Sports Meet,221
Thursday,Snacks,Sandwich,Rainy,Sports Meet,213
Friday,Dinner,Chapati,Cold,No,94
Wednesday,Breakfast,Idli,Rainy,Exam,90
Tuesday,Dinner,Biryani,Cold,Sports Meet,244
Sunday,Lunch,Chapati,Cloudy,Sports Meet,170
Saturday,Lunch,Noodles,Cloudy,Festival,179
Friday,Snacks,Samosa,Cloudy,Sports Meet,204
Monday,Breakfast,Sandwich,Cold,Holiday,175
Monday,Dinner,Biryani,Cloudy,No,170
Monday,Breakfast,Dosa,Rainy,Sports Meet,181
Thursday,Breakfast,Sandwich,Cloudy,No,119
Saturday,Lunch,Rice,Cold,Sports Meet,216
Sunday,Breakfast,Idli,Cold,No,89
Tuesday,Breakfast,Idli,Cold,Holiday,163
Sunday,Snacks,Samosa,Rainy,Sports Meet,277
Monday,Lunch,Noodles,Cold,Sports Meet,203
Saturday,Dinner,Biryani,Rainy,Sports Meet,238
Monday,Dinner,Noodles,Cloudy,Exam,98
Monday,Snacks,Noodles,Sunny,Sports Meet,202
Tuesday,Lunch,Noodles,Sunny,Festival,224
Wednesday,Breakfast,Idli,Sunny,Exam,110
Tuesday,Snacks,Noodles,Sunny,Festival,183
Sunday,Breakfast,Dosa,Cloudy,Holiday,174
Thursday,Snacks,Sandwich,Cold,No,170
Friday,Dinner,Noodles,Sunny,No,143
Friday,Snacks,Sandwich,Sunny,Festival,202
Tuesday,Lunch,Noodles,Sunny,Sports Meet,178
Friday,Breakfast,Dosa,Rainy,Sports Meet,182
Friday,Dinner,Biryani,Cold,Sports Meet,212
Saturday,Snacks,Noodles,Rainy,No,172
Saturday,Dinner,Biryani,Sunny,Sports Meet,273
Sunday,Breakfast,Dosa,Cold,Festival,166
Saturday,Snacks,Noodles,Sunny,Exam,111
Tuesday,Dinner,Chapati,Sunny,Holiday,113
Monday,Lunch,Chapati,Sunny,Festival,167
Thursday,Dinner,Chapati,Sunny,Holiday,107
Saturday,Lunch,Chapati,Cloudy,Festival,235
Friday,Snacks,Sandwich,Sunny,Holiday,96
Thursday,Lunch,Biryani,Cloudy,Sports Meet,256
Thursday,Breakfast,Dosa,Sunny,No,152
Friday,Snacks,Noodles,Sunny,Exam,90
